Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.01,0.005,0.3260643029245193
75% Corpus,10,0.01,0.01,0.3260643029245193
75% Corpus,10,0.01,0.05,0.325139176223509
75% Corpus,10,0.01,0.1,0.3235529746014172
75% Corpus,10,0.01,0.2,0.3170131714481076
75% Corpus,10,0.05,0.005,0.3260229257013411
75% Corpus,10,0.05,0.01,0.3260229257013411
75% Corpus,10,0.05,0.05,0.3238914834817413
75% Corpus,10,0.05,0.1,0.3193365716864089
75% Corpus,10,0.05,0.2,0.3170131714481076
75% Corpus,10,0.1,0.005,0.3239603815444945
75% Corpus,10,0.1,0.01,0.3239603815444945
75% Corpus,10,0.1,0.05,0.32226390463647125
75% Corpus,10,0.1,0.1,0.31806531664668425
75% Corpus,10,0.1,0.2,0.3151426990019325
75% Corpus,10,0.2,0.005,0.31415208070812306
75% Corpus,10,0.2,0.01,0.31415208070812306
75% Corpus,10,0.2,0.05,0.3153957954740586
75% Corpus,10,0.2,0.1,0.31296937523436474
75% Corpus,10,0.2,0.2,0.31147369351542736
75% Corpus,10,0.5,0.005,0.30491800397954677
75% Corpus,10,0.5,0.01,0.30491800397954677
75% Corpus,10,0.5,0.05,0.3055284571090401
75% Corpus,10,0.5,0.1,0.30290010384853616
75% Corpus,10,0.5,0.2,0.3050515464758202
75% Corpus,20,0.01,0.005,0.3249355329586091
75% Corpus,20,0.01,0.01,0.32514297410081594
75% Corpus,20,0.01,0.05,0.3244663911059108
75% Corpus,20,0.01,0.1,0.32481811353747997
75% Corpus,20,0.01,0.2,0.3275814163681007
75% Corpus,20,0.05,0.005,0.32486515909478164
75% Corpus,20,0.05,0.01,0.3252895392837619
75% Corpus,20,0.05,0.05,0.32452262596225917
75% Corpus,20,0.05,0.1,0.32472381362792097
75% Corpus,20,0.05,0.2,0.3254291621428986
75% Corpus,20,0.1,0.005,0.3246059706433957
75% Corpus,20,0.1,0.01,0.3246059706433957
75% Corpus,20,0.1,0.05,0.32390551919868915
75% Corpus,20,0.1,0.1,0.32493701513698087
75% Corpus,20,0.1,0.2,0.3249309919360931
75% Corpus,20,0.2,0.005,0.3247112698415893
75% Corpus,20,0.2,0.01,0.3247112698415893
75% Corpus,20,0.2,0.05,0.325672759264792
75% Corpus,20,0.2,0.1,0.32490468721714333
75% Corpus,20,0.2,0.2,0.32133332764524164
75% Corpus,20,0.5,0.005,0.305707724007084
75% Corpus,20,0.5,0.01,0.3057077240070841
75% Corpus,20,0.5,0.05,0.3032903537820351
75% Corpus,20,0.5,0.1,0.30497786769310176
75% Corpus,20,0.5,0.2,0.3045173665092807
75% Corpus,30,0.01,0.005,0.3234093968591862
75% Corpus,30,0.01,0.01,0.3234093968591862
75% Corpus,30,0.01,0.05,0.32419843035104484
75% Corpus,30,0.01,0.1,0.32359596217669095
75% Corpus,30,0.01,0.2,0.32819767624850066
75% Corpus,30,0.05,0.005,0.3233373766274683
75% Corpus,30,0.05,0.01,0.32276035869523345
75% Corpus,30,0.05,0.05,0.3241975110855152
75% Corpus,30,0.05,0.1,0.32500135602158425
75% Corpus,30,0.05,0.2,0.3260289900608232
75% Corpus,30,0.1,0.005,0.3243278907452828
75% Corpus,30,0.1,0.01,0.32373881149304895
75% Corpus,30,0.1,0.05,0.32281951489314864
75% Corpus,30,0.1,0.1,0.3232381703131282
75% Corpus,30,0.1,0.2,0.3241293176998295
75% Corpus,30,0.2,0.005,0.3226578466426936
75% Corpus,30,0.2,0.01,0.3226578466426936
75% Corpus,30,0.2,0.05,0.32358081618569806
75% Corpus,30,0.2,0.1,0.3232559231505615
75% Corpus,30,0.2,0.2,0.32193474835458313
75% Corpus,30,0.5,0.005,0.3053500642574799
75% Corpus,30,0.5,0.01,0.3054594283021049
75% Corpus,30,0.5,0.05,0.3047714421920304
75% Corpus,30,0.5,0.1,0.30478749256214427
75% Corpus,30,0.5,0.2,0.3013999258603554
75% Corpus,40,0.01,0.005,0.32895259921177444
75% Corpus,40,0.01,0.01,0.3287351680490943
75% Corpus,40,0.01,0.05,0.3287566868501567
75% Corpus,40,0.01,0.1,0.3269638651893308
75% Corpus,40,0.01,0.2,0.3240347716002273
75% Corpus,40,0.05,0.005,0.3260431855560322
75% Corpus,40,0.05,0.01,0.3260431855560321
75% Corpus,40,0.05,0.05,0.32648307429684686
75% Corpus,40,0.05,0.1,0.3254970403089808
75% Corpus,40,0.05,0.2,0.3241972016346001
75% Corpus,40,0.1,0.005,0.32542984468747727
75% Corpus,40,0.1,0.01,0.32542984468747727
75% Corpus,40,0.1,0.05,0.3238459268344206
75% Corpus,40,0.1,0.1,0.32427443101168085
75% Corpus,40,0.1,0.2,0.3246113783486978
75% Corpus,40,0.2,0.005,0.3231774898122301
75% Corpus,40,0.2,0.01,0.32284770351115616
75% Corpus,40,0.2,0.05,0.3227676773744232
75% Corpus,40,0.2,0.1,0.3225455081196883
75% Corpus,40,0.2,0.2,0.3234894245928366
75% Corpus,40,0.5,0.005,0.30668582627603447
75% Corpus,40,0.5,0.01,0.3059416647747698
75% Corpus,40,0.5,0.05,0.30543960051231
75% Corpus,40,0.5,0.1,0.30346733703242046
75% Corpus,40,0.5,0.2,0.29996694863159856
75% Corpus,50,0.01,0.005,0.3266593754665642
75% Corpus,50,0.01,0.01,0.32744315776841143
75% Corpus,50,0.01,0.05,0.3270354206838673
75% Corpus,50,0.01,0.1,0.32768418919385917
75% Corpus,50,0.01,0.2,0.32645777040169577
75% Corpus,50,0.05,0.005,0.32635012914837275
75% Corpus,50,0.05,0.01,0.32617918336216717
75% Corpus,50,0.05,0.05,0.32748621271369566
75% Corpus,50,0.05,0.1,0.3272403772447301
75% Corpus,50,0.05,0.2,0.32867168711565187
75% Corpus,50,0.1,0.005,0.3244127915984098
75% Corpus,50,0.1,0.01,0.3251608487857531
75% Corpus,50,0.1,0.05,0.32599025699590195
75% Corpus,50,0.1,0.1,0.32686787651526567
75% Corpus,50,0.1,0.2,0.3283452496547994
75% Corpus,50,0.2,0.005,0.32825060103580583
75% Corpus,50,0.2,0.01,0.32812347570690575
75% Corpus,50,0.2,0.05,0.32738819880812686
75% Corpus,50,0.2,0.1,0.3253477145207859
75% Corpus,50,0.2,0.2,0.32587401542782873
75% Corpus,50,0.5,0.005,0.29760241354248046
75% Corpus,50,0.5,0.01,0.29747218487817584
75% Corpus,50,0.5,0.05,0.29788178010117733
75% Corpus,50,0.5,0.1,0.295272425665394
75% Corpus,50,0.5,0.2,0.29329664198668653
75% Corpus,60,0.01,0.005,0.3355161341548794
75% Corpus,60,0.01,0.01,0.3354027563251373
75% Corpus,60,0.01,0.05,0.334338658758736
75% Corpus,60,0.01,0.1,0.3335329180639079
75% Corpus,60,0.01,0.2,0.3300605533994628
75% Corpus,60,0.05,0.005,0.3350840327958083
75% Corpus,60,0.05,0.01,0.335363146614206
75% Corpus,60,0.05,0.05,0.3323782828966058
75% Corpus,60,0.05,0.1,0.33258450761227226
75% Corpus,60,0.05,0.2,0.33031093837749054
75% Corpus,60,0.1,0.005,0.33558394652860213
75% Corpus,60,0.1,0.01,0.33550214748555435
75% Corpus,60,0.1,0.05,0.33260728293894254
75% Corpus,60,0.1,0.1,0.33168806524785555
75% Corpus,60,0.1,0.2,0.33203737185253973
75% Corpus,60,0.2,0.005,0.3351680939459146
75% Corpus,60,0.2,0.01,0.3345101721394468
75% Corpus,60,0.2,0.05,0.3343432697672525
75% Corpus,60,0.2,0.1,0.33228078835647534
75% Corpus,60,0.2,0.2,0.3315754210332257
75% Corpus,60,0.5,0.005,0.29750755484924435
75% Corpus,60,0.5,0.01,0.296757142573953
75% Corpus,60,0.5,0.05,0.2954611789071568
75% Corpus,60,0.5,0.1,0.29538500367168036
75% Corpus,60,0.5,0.2,0.29363346983633304
100% Corpus,10,0.01,0.005,0.32464701626990405
100% Corpus,10,0.01,0.01,0.3227765438237289
100% Corpus,10,0.01,0.05,0.3237807369298814
100% Corpus,10,0.01,0.1,0.3254323614907775
100% Corpus,10,0.01,0.2,0.32154441826008584
100% Corpus,10,0.05,0.005,0.3224053741107652
100% Corpus,10,0.05,0.01,0.3224053741107652
100% Corpus,10,0.05,0.05,0.32340956721691777
100% Corpus,10,0.05,0.1,0.3249317824571428
100% Corpus,10,0.05,0.2,0.3210505476193368
100% Corpus,10,0.1,0.005,0.3183333534249476
100% Corpus,10,0.1,0.01,0.3183333534249476
100% Corpus,10,0.1,0.05,0.32382568956015095
100% Corpus,10,0.1,0.1,0.3227589630143648
100% Corpus,10,0.1,0.2,0.32119986867346684
100% Corpus,10,0.2,0.005,0.31714695263641846
100% Corpus,10,0.2,0.01,0.31714695263641846
100% Corpus,10,0.2,0.05,0.3151765707092425
100% Corpus,10,0.2,0.1,0.3163762373139988
100% Corpus,10,0.2,0.2,0.3151742432697862
100% Corpus,10,0.5,0.005,0.3108021824923003
100% Corpus,10,0.5,0.01,0.3096374147702978
100% Corpus,10,0.5,0.05,0.3125242081822873
100% Corpus,10,0.5,0.1,0.31196773391965305
100% Corpus,10,0.5,0.2,0.30654202347505455
100% Corpus,20,0.01,0.005,0.3307035458482106
100% Corpus,20,0.01,0.01,0.33124845437728784
100% Corpus,20,0.01,0.05,0.3282314565718284
100% Corpus,20,0.01,0.1,0.3254627950656358
100% Corpus,20,0.01,0.2,0.3276751283078962
100% Corpus,20,0.05,0.005,0.33088659897754713
100% Corpus,20,0.05,0.01,0.33088659897754713
100% Corpus,20,0.05,0.05,0.32899823332926637
100% Corpus,20,0.05,0.1,0.330799035768761
100% Corpus,20,0.05,0.2,0.32665040317166694
100% Corpus,20,0.1,0.005,0.32990881425784996
100% Corpus,20,0.1,0.01,0.32990881425784996
100% Corpus,20,0.1,0.05,0.3281978789846537
100% Corpus,20,0.1,0.1,0.33007569478736054
100% Corpus,20,0.1,0.2,0.32694037680110904
100% Corpus,20,0.2,0.005,0.3288226738159396
100% Corpus,20,0.2,0.01,0.32881001640561724
100% Corpus,20,0.2,0.05,0.32991046289162884
100% Corpus,20,0.2,0.1,0.33250841852556656
100% Corpus,20,0.2,0.2,0.3230003763536688
100% Corpus,20,0.5,0.005,0.30964077309720767
100% Corpus,20,0.5,0.01,0.30964077309720767
100% Corpus,20,0.5,0.05,0.31088400395248655
100% Corpus,20,0.5,0.1,0.3081351646725845
100% Corpus,20,0.5,0.2,0.30300223034825785
100% Corpus,30,0.01,0.005,0.3279488829812987
100% Corpus,30,0.01,0.01,0.3279488829812987
100% Corpus,30,0.01,0.05,0.3280810569780585
100% Corpus,30,0.01,0.1,0.32724912483897856
100% Corpus,30,0.01,0.2,0.33066350774372155
100% Corpus,30,0.05,0.005,0.3284578328614681
100% Corpus,30,0.05,0.01,0.32827865120370286
100% Corpus,30,0.05,0.05,0.3271789428358155
100% Corpus,30,0.05,0.1,0.32738385040009577
100% Corpus,30,0.05,0.2,0.3298401522838717
100% Corpus,30,0.1,0.005,0.3259338709373616
100% Corpus,30,0.1,0.01,0.3259338709373616
100% Corpus,30,0.1,0.05,0.32547488903534827
100% Corpus,30,0.1,0.1,0.3255638638883713
100% Corpus,30,0.1,0.2,0.32884131641890285
100% Corpus,30,0.2,0.005,0.322814888909528
100% Corpus,30,0.2,0.01,0.32343514696919956
100% Corpus,30,0.2,0.05,0.3219965626875399
100% Corpus,30,0.2,0.1,0.3236218294592995
100% Corpus,30,0.2,0.2,0.3244361393327644
100% Corpus,30,0.5,0.005,0.30853081238627805
100% Corpus,30,0.5,0.01,0.307974845869657
100% Corpus,30,0.5,0.05,0.30619624113729166
100% Corpus,30,0.5,0.1,0.30720308219023706
100% Corpus,30,0.5,0.2,0.3004758119933713
100% Corpus,40,0.01,0.005,0.32716192354366175
100% Corpus,40,0.01,0.01,0.3273946896372767
100% Corpus,40,0.01,0.05,0.3263291587085652
100% Corpus,40,0.01,0.1,0.3249525851235228
100% Corpus,40,0.01,0.2,0.32681013612406573
100% Corpus,40,0.05,0.005,0.324612742703193
100% Corpus,40,0.05,0.01,0.3247262134922828
100% Corpus,40,0.05,0.05,0.3253030655630777
100% Corpus,40,0.05,0.1,0.3260773887578529
100% Corpus,40,0.05,0.2,0.32614190131555465
100% Corpus,40,0.1,0.005,0.32449829573162714
100% Corpus,40,0.1,0.01,0.3242034591541361
100% Corpus,40,0.1,0.05,0.3231572408768498
100% Corpus,40,0.1,0.1,0.3261562787298118
100% Corpus,40,0.1,0.2,0.32746309106362553
100% Corpus,40,0.2,0.005,0.3231203691132956
100% Corpus,40,0.2,0.01,0.3231203691132956
100% Corpus,40,0.2,0.05,0.3241815457201175
100% Corpus,40,0.2,0.1,0.32567984878694
100% Corpus,40,0.2,0.2,0.3269332414675816
100% Corpus,40,0.5,0.005,0.3063416461226699
100% Corpus,40,0.5,0.01,0.30697688925781697
100% Corpus,40,0.5,0.05,0.30510806014850617
100% Corpus,40,0.5,0.1,0.30212784939282733
100% Corpus,40,0.5,0.2,0.2988502009184952
100% Corpus,50,0.01,0.005,0.3251771584708317
100% Corpus,50,0.01,0.01,0.3254281927925797
100% Corpus,50,0.01,0.05,0.3241296735909821
100% Corpus,50,0.01,0.1,0.32521179718785653
100% Corpus,50,0.01,0.2,0.3265516001558593
100% Corpus,50,0.05,0.005,0.3253634150871423
100% Corpus,50,0.05,0.01,0.3253634150871423
100% Corpus,50,0.05,0.05,0.32519037206940743
100% Corpus,50,0.05,0.1,0.3250377806253239
100% Corpus,50,0.05,0.2,0.32617518824075636
100% Corpus,50,0.1,0.005,0.326416691785771
100% Corpus,50,0.1,0.01,0.32592995244121375
100% Corpus,50,0.1,0.05,0.3240966987634999
100% Corpus,50,0.1,0.1,0.32459475616621325
100% Corpus,50,0.1,0.2,0.32535973296807136
100% Corpus,50,0.2,0.005,0.3229987205164489
100% Corpus,50,0.2,0.01,0.3228726013213867
100% Corpus,50,0.2,0.05,0.3239672385275324
100% Corpus,50,0.2,0.1,0.32251555412038535
100% Corpus,50,0.2,0.2,0.3232076431732005
100% Corpus,50,0.5,0.005,0.2990809049631559
100% Corpus,50,0.5,0.01,0.298056328505679
100% Corpus,50,0.5,0.05,0.29480728933403155
100% Corpus,50,0.5,0.1,0.2927862611183082
100% Corpus,50,0.5,0.2,0.2931546174279602
100% Corpus,60,0.01,0.005,0.333918516744032
100% Corpus,60,0.01,0.01,0.3338203924330766
100% Corpus,60,0.01,0.05,0.3347993657718356
100% Corpus,60,0.01,0.1,0.33684633897857147
100% Corpus,60,0.01,0.2,0.3342104664688698
100% Corpus,60,0.05,0.005,0.3373686211911858
100% Corpus,60,0.05,0.01,0.3378445480062855
100% Corpus,60,0.05,0.05,0.3345417270393243
100% Corpus,60,0.05,0.1,0.33393458615056465
100% Corpus,60,0.05,0.2,0.3350881298547739
100% Corpus,60,0.1,0.005,0.33699182936417515
100% Corpus,60,0.1,0.01,0.3359733786281968
100% Corpus,60,0.1,0.05,0.3361316907315455
100% Corpus,60,0.1,0.1,0.33341194816053277
100% Corpus,60,0.1,0.2,0.3333921462897663
100% Corpus,60,0.2,0.005,0.3328264981184239
100% Corpus,60,0.2,0.01,0.33125774510585326
100% Corpus,60,0.2,0.05,0.33170607018091675
100% Corpus,60,0.2,0.1,0.3304210196181147
100% Corpus,60,0.2,0.2,0.32916240641595773
100% Corpus,60,0.5,0.005,0.29406977030781056
100% Corpus,60,0.5,0.01,0.2937781714062394
100% Corpus,60,0.5,0.05,0.2943921266505898
100% Corpus,60,0.5,0.1,0.29260944209043244
100% Corpus,60,0.5,0.2,0.2919322231119423
